property_name,property_id,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
4 Bds - 3 Ba - 3200 ft2,1728030823,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba,House for Rent","₹ 21,000",,4 BHK independent house with spacious balconies in quiet neighborhood. Good road access and car parking facility.,K A Koshy,"Malaparamba, Kozhikode, Kerala",Houses & Villas,3,4
4+ Bds - 4+ Ba - 5784 ft2,1729059737,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Arayedathupalam,Home stay for bachelors","₹ 2,999",https://apollo-singapore.akamaized.net:443/v1/files/hza9c7rw3oon3-IN/image;s=850x0,2999/ month rent ,Ijaz,"Arayedathupalam, Kozhikode, Kerala",Houses & Villas,4+,4+
2 Bds - 2 Ba - 1100 ft2,1652405771,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba,UP STAIR FOR RENT,MALAPARAMBU,CALICUT","₹ 10,000",https://apollo-singapore.akamaized.net:443/v1/files/n6s9zuj486461-IN/image;s=850x0,"TWO BEDROOM ATTACHED,HALL,KITCHEN,BORWELL AND KWA WATER,CAR SITE",HEAVEN REAL ESTATE AGENT,"Malaparamba, Kozhikode, Kerala",Houses & Villas,2,2
2 Bds - 2 Ba - 1100 ft2,1729046601,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach,2BHK apartment for Rent Near Corporation office Kozhikode","₹ 15,000",https://apollo-singapore.akamaized.net:443/v1/files/3buanw0lpwkl3-IN/image;s=850x0,2BHK apartment for Rent Near Corporation office Kozhikode Beach,shibu N Joseph,"Calicut Beach, Kozhikode, Kerala",Apartments,2,2
3 Bds - 3 Ba - 1366 ft2,1637175333,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,2bhk semi furnished flat for rent at Calicut","₹ 20,000",https://apollo-singapore.akamaized.net:443/v1/files/s7xza380xtvv-IN/image;s=850x0,2bhk semi furnished flat for rent at Calicut,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,3,3
1 Bds - 1 Ba - 1000 ft2,1707838591,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kallai,Rooms4 Bachelor’s nd couples Rent SingleRoom 7000 DoubleRoom 5000 Each","₹ 5,000",https://apollo-singapore.akamaized.net:443/v1/files/6gr8jxnrpfr92-IN/image;s=850x0,"For Monthly Rent Only. Single and Double Bedroom Available. (Attached Bathroom) Near Iqra Hospital, Opp Kallayi Railway Station calicut.",NEW EVEREST LODGE,"Kallai, Kozhikode, Kerala",Builder Floors,1,1
4 Bds - 3 Ba - 2250 ft2,1729061648,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba,Independent Villa for rent - Brokers excuse","₹ 30,000",https://apollo-singapore.akamaized.net:443/v1/files/u4mxfnv3ph5v1-IN/image;s=850x0,"Independent Villa with two car parking, three bedrooms, well, KWA connection, 200 ft from buypass and near Malaparamba junction",Satish Nair,"Malaparamba, Kozhikode, Kerala",Houses & Villas,3,4
3 Bds - 3 Ba - 2500 ft2,1729045674,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,3BHK INDIVIDUAL HOUSE FOR RENT Near CYBER PARK KOZHIKODE","₹ 16,000",https://apollo-singapore.akamaized.net:443/v1/files/dopx6n0tf0fl3-IN/image;s=850x0,"This is a 3 BHK 3 Bathroom Individual house with Kennel House just half KM from Cyber Park / Hilite Mall / Kozhikode Main Byepass. Separate study room, Store room and work area are also available. House situated in a plot area of 10 cents. Well water and Coporation water available. 2 BHK in Ground floor and One Bedroom and Study room in first floor available. Coverd 1 carpark and 2 open car park space in fornt of the house. Medical College Kozhikode is just 2 KM away and just 5 KM to Baby Memorial Hospital via Mavoor Road. All major schools and colleges just 2 to 3 kms away.",Unnikrishnan Vallikkat Moosalathodi,"Pottammal, Kozhikode, Kerala",Houses & Villas,3,3
3 Bds - 3 Ba - 1920 ft2,1634599955,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,അതിഥികൾ അമ്പരകട്ടെ നിങ്ങളുടെ ഫ്ലാറ്റ് കണ്ട്","₹ 27,000",https://apollo-singapore.akamaized.net:443/v1/files/re82a5roiqhx1-IN/image;s=850x0,"എന്തായാലും ഫ്ലാറ്റ് എടുക്കുന്നു , അപ്പൊ പിന്നെ നല്ലത് തന്നെ എടുത്തൂടെ ചങ്ങാതി ? ",Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,3
2 Bds - 2 Ba - 1290 ft2,1634683785,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,കാലി ഫ്ലാറ്റുകൾ കീശ കാലിയാകില്ല","₹ 20,000",,"ഫർണിച്ചർ ഒക്കെ കയ്യിലുണ്ടെങ്കിൽ പിന്നെ നല്ലൊരു കാലി ഫ്ലാറ്റ് എടുക്കണതല്ലേ ചേട്ടാ നല്ലത് ? കിച്ചൻ ക്യാബിനറ്റും , വാർഡ്രോബ് എന്നിവ മാത്രം ഉള്ള ഫ്ലാറ്റ് ആണെങ്കിൽ വാടകയും നല്ല രീതിയിൽ കുറയും . ",Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
2 Bds - 3 Ba - 1430 ft2,1667217305,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,സ്റ്റാൻഡേർഡ് എന്നു പറഞ്ഞാൽ ഇതാണ്","₹ 25,500",,എപ്പോഴും ഫ്ലാറ്റ് വാടകയ്ക്ക് നോക്കുമ്പോൾ നാം അനുഭവിക്കുന്ന പ്രധാന പ്രശ്നം എന്നാൽ അതിന്റെ വൃത്തി കുറവും ഇന്റീരിയർ ഇന്റെ ഭംഗി കുറവും തന്നെയാണ്.,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,2
2 Bds - 2 Ba - 1358 ft2,1634884226,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,perfect ok ഫ്ലാറ്റുകൾ നോക്കാം","₹ 23,000",https://apollo-singapore.akamaized.net:443/v1/files/rbxq1ihd1mco2-IN/image;s=850x0,കൊച്ചി നഗരത്തിൽ ഇനി ആരും ഫ്ലാറ്റ് തപ്പി അലഞ്ഞു സമയം കളയില്ല . ഈ കൊറോണ ടൈമിൽ നിങ്ങളുടെ സമയത്തിന് പൂർണമായും ബഹുമാനിച്ചുകൊണ്ട് നിങ്ങളുടെ ആഗ്രഹം പോലുള്ള നല്ല നല്ല ഫ്ലാറ്റുകൾ Brokees നിങ്ങളുടെ മുന്നിൽ തരുന്നു .,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
3 Bds - 3 Ba - 1800 ft2,1634473467,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,കുഞ്ഞു കുടുംബം കുഞ്ഞു വീട്","₹ 20,000",https://apollo-singapore.akamaized.net:443/v1/files/9dnimhaqhuz51-IN/image;s=850x0,ചെറിയൊരു ഫാമിലി ആണേൽ ഇതുപോലുള്ള ചെറിയ വീടുകൾ തന്നെ ആണ് ഉചിതം സ് എന്തിനാ ഈ കാലത് ഒരു പാഴ്‌ച്ചെലവ് ? ,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3
4 Bds - 4 Ba - 2200 ft2,1726449222,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in West Hill,New 4bhk full furnished home chevayoor , kovoor and west hill","₹ 30,000",,"4bhk 4 bathroom, kannoor road 2nd plot , brand new home",Rental homes calicut,"West Hill, Kozhikode, Kerala",Houses & Villas,4,4
3 Bds - 3 Ba - 1800 ft2,1671051955,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,മികച്ച ഇന്റീരിയർ ഉള്ള ഫ്ലാറ്റ് ന്യായ വാടകയ്ക്ക്","₹ 28,000",,കോഴിക്കോട് നഗരത്തിൽ താമസിക്കുന്ന അതിനുവേണ്ടി അഴകിയ ഫ്ലാറ്റുകൾ വാടകയ്ക്ക്.,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,3
4 Bds - 3 Ba - 2100 ft2,1712733249,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Thondayad 4bhk house for Rent","₹ 30,000",,Thondayad 4bhk house,Vijesh K,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,4
3 Bds - 3 Ba - 1250 ft2,1726932464,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Koottuli,1250 Sq.Ft 3 Bhk Semi Furnished Flat Fopr Rent At Kottooli,Calicut","₹ 35,000",,Attention Renters!,Big Deals,"Koottuli, Kozhikode, Kerala",Apartments,3,3
3 Bds - 3 Ba - 1650 ft2,1726999462,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,3 BHK  furnished Flat for Rent at Thondayad, Calicut","₹ 33,500",https://apollo-singapore.akamaized.net:443/v1/files/zwckjvdor7n73-IN/image;s=850x0,Attention Renters!,Big Deals,"Thondayad, Kozhikode, Kerala",Apartments,3,3
3 Bds - 3 Ba - 1980 ft2,1633761258,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,സുന്ദരി ഫ്ലാറ്റിൽ നിന്നാലോ ? Brokees","₹ 25,500",https://apollo-singapore.akamaized.net:443/v1/files/neli6b80v18h1-IN/image;s=850x0,Welcome to Brokees,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,3
2 Bds - 2 Ba - 1280 ft2,1655101201,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,ഇജ്ജാതി കാഴ്ചയുള്ള ഫ്ലാറ്റോ","₹ 26,000",https://apollo-singapore.akamaized.net:443/v1/files/igfo8eatbhnl2-IN/image;s=850x0,"ഫ്ലാറ്റിൽ നിൽക്കാൻ തീരുമാനിക്കുമ്പോൾ നമ്മൾ പ്ലൈഹും ആഗ്രഹിക്കുന്നുണ്ട് . സെക്യൂരിറ്റി , സ്വകാര്യങ്ങൾ എന്നിങ്ങനെ . എന്നാൽ ചിലർക്ക് അത്  നല്ല വ്യൂ ഉള്ള ഫ്ലാറ്റ് എന്നുള്ളതാണ് വേണ്ടത് . ഏറ്റവും ഉയരെ നഗരകാഴ്ച മുഴുവനും , എന്തിനു തൊട്ടടുത്ത ജില്ലയിലെ എയർപോർട്ട് ബാൽക്കണി യിൽ നിന്ന് കാണമെങ്കിലോ ? ",Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
2 Bds - 2 Ba - 24000 ft2,1634222112,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,ഒരു സിമ്പിൾ ആയ ഫ്ലാറ്റിൽ താമസിച്ചാലോ ?","₹ 21,000",https://apollo-singapore.akamaized.net:443/v1/files/2dasbbpmw31v-IN/image;s=850x0,Hi ,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
3 Bds - 3 Ba - 1800 ft2,1665197107,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,വാടകവീട് തപ്പിയുള്ള അലച്ചിൽ നിർത്താം","₹ 19,000",https://apollo-singapore.akamaized.net:443/v1/files/tikb84c8ur3s2-IN/image;s=850x0,കോഴിക്കോട് നഗരത്തിൽ ഒരുപാട് വീടാണ് നിങ്ങൾ നോക്കുന്നതെങ്കിൽ ആ ഒരു അലച്ചിൽ ഇനി നിർത്താം. We have options,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3
3 Bds - 3 Ba - 1850 ft2,1634356092,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,സുന്ദരൻ ഫ്ലാറ്റിനു വീട്ടമ്മയെ തേടുന്നു Brokees","₹ 29,000",https://apollo-singapore.akamaized.net:443/v1/files/9nqtjjeb3f563-IN/image;s=850x0,Looking for a rental House in city ??,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,3
4 Bds - 3 Ba - 2350 ft2,1634218056,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,വീട്ടുകാരാക്കാൻ കൊതിപ്പിക്കും വീടുകൾ നോക്കാം","₹ 21,000",https://apollo-singapore.akamaized.net:443/v1/files/bz13cs8fje003-IN/image;s=850x0,Looking for rental option in city . ??,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,4
4 Bds - 3 Ba - 2350 ft2,1634417325,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Rental House ഇനി വിരൽ തുമ്പിൽ ,Brokees","₹ 20,000",https://apollo-singapore.akamaized.net:443/v1/files/ckvlhdfrs876-IN/image;s=850x0,വാടക വീടും തപ്പി ഇങ്ങനെ ദിവസവും കുടുംബവുമൊത്ത് അലയാം എന്നാണോ ചേട്ടാ വിചാരിച്ചിരിക്കുന്നെ ?  അപകടമാണ് .  കൊറോണ അതീവ അപകടകാരിയും .,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,4
4 Bds - 4 Ba - 2764 ft2,1634471814,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,വീട്ടുകാരാവാൻ കൊതിപ്പിക്കും വീടുകൾ നോക്കാം","₹ 23,000",,Looking for a good rental House in city ? ,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,4,4
2 Bds - 2 Ba - 1430 ft2,1671366597,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,കാലി ഫ്ലാറ്റ് എന്നും നിങ്ങളുടെ കീശ സംരക്ഷിക്കും","₹ 19,000",https://apollo-singapore.akamaized.net:443/v1/files/hgl9oreslkld2-IN/image;s=850x0,കോഴിക്കോട് നഗരത്തിൽ ഫുൾ ഫർണിച്ചർ ഓടുകൂടി ഒരു ഫ്ലാറ്റ് വാടക എടുക്കാം എന്ന് പറയുന്നത് കീശ കാലി അന്ന് കാര്യമാണ് ചേട്ടാ.  അതുകൊണ്ട് സെമി ആയിട്ടുള്ള ഒരു ഫ്ലാറ്റ് വാടകയ്ക്ക് എടുക്കു,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
1 Bds - 1 Ba - 511 ft2,1632686399,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,1bhk fully furnished flat for rent at Thondayad bypass","₹ 17,000",https://apollo-singapore.akamaized.net:443/v1/files/v5cx3mq6cczb2-IN/image;s=850x0,1bhk fully furnished flat for rent at Thondayad bypass,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,1,1
2 Bds - 2 Ba - 1350 ft2,1671368309,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,ഇഷ്ടമുള്ള ബാൽക്കണി view തെരഞ്ഞെടുക്കാം","₹ 20,000",,ഒരു ഫ്ലാറ്റ് നമ്മൾ വാടകയ്ക്കെടുക്കുന്ന എന്തിനാ നല്ലൊരു ബാൽക്കണി ഉള്ളിലേക്ക് താഴേക്ക് നോക്കി ഇങ്ങനെ ഇരിക്കാൻ അല്ലേ അല്ലാതെ പിന്നെ എന്തിനാ,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
2 Bds - 2 Ba - 1400 ft2,1671369612,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,ചില്ലറ പൈസ അധികം കൊടുത്താൽ നിങ്ങൾ രാജാവായി","₹ 28,000",https://apollo-singapore.akamaized.net:443/v1/files/0h7aqx51yn3b3-IN/image;s=850x0,അതെ സത്യമാണ് നിങ്ങൾ പറഞ്ഞത്. എന്തായാലും വാടക കൊടുക്കുന്നുണ്ട് അതിന്റെ മേലെ ഒരു 2000- 3000 അധികം കൊടുക്കുകയാണെങ്കിൽ നല്ല അടിപൊളി ഫ്ലാറ്റിൽ തന്നെ നിന്നോട് ചേട്ടാ,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
3 Bds - 3 Ba - 1800 ft2,1727419519,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Furnished home calicut","₹ 18,000",https://apollo-singapore.akamaized.net:443/v1/files/02f160dmmx303-IN/image;s=850x0,3bhk semi furnish homes at nadakkav and thondayad,Rental homes calicut,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3
2 Bds - 2 Ba - 1000 ft2,1729026118,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam,2BHK Upstairs near Kirtards Bypass side12","₹ 12,000",https://apollo-singapore.akamaized.net:443/v1/files/hfb0jdc5dnyb1-IN/image;s=850x0,Good,Pro Rent buy sell,"Chevarambalam, Kozhikode, Kerala",Houses & Villas,2,2
3 Bds - 3 Ba - 1980 ft2,1671493404,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,കൈയും വീശി വരാം എല്ലാമുണ്ട് ഇവിടെ","₹ 27,500",,എല്ലാവിധ ഫർണിച്ചറുകളും ഉള്ള കോഴിക്കോട് നഗരത്തിലെ വീടുകളുടെ മികച്ച ശ്രേണി നിങ്ങളുടെ മുന്നിൽ,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3
2 Bds - 2 Ba - 1430 ft2,1709700717,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,ചില ഫ്ലാറ്റുകൾ നാം അറിയാതെ നമ്മളെ ആ വീട്ടുകാരാക്കും","₹ 26,000",https://apollo-singapore.akamaized.net:443/v1/files/ewah77yau9va1-IN/image;s=850x0,വാടകയ്ക്കായി ഒരു ഫ്ലാറ്റ് തപ്പിയെടുക്കുക എന്നു പറയുന്നത് കോഴിക്കോട് നഗരത്തിൽ വലിയ പ്രയാസമുള്ള കാര്യമാണ് കാരണം ഓപ്ഷനുകൾ വളരെ പരിമിതമാണ് കോഴിക്കോട് നഗരത്തിൽ എന്നാൽ ചില വാടക ഫ്ലാറ്റുകൾ നമ്മൾ പോയി നോക്കുമ്പോൾ തന്നെ നമ്മളെ ആ വീട്ടുകാർ ആക്കാൻ പ്രേരിപ്പിക്കും നിങ്ങളുടെ താല്പര്യം എന്ത് എന്നുള്ളത് മനസ്സിലാക്കി അത്തരം ഫ്ലാറ്റുകൾ നിങ്ങൾക്ക് വേണ്ടി ഞങ്ങൾ നൽകുന്നു,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
2 Bds - 2 Ba - 1450 ft2,1671495663,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,ഹോട്ടൽ പോലൊരു ഫ്ലാറ്റ്","₹ 24,000",,മികച്ച ഇന്റീരിയർ ഓടുകൂടി ഒരു ഫ്ലാറ്റിൽ താമസിക്കുന്നത് എന്ത് സുഖം അല്ലേ ചേട്ടാ,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
2 Bds - 2 Ba - 1250 ft2,1671369712,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Hilite mall ന്റെ അടുത്ത് കിടിലൻ stay","₹ 16,000",https://apollo-singapore.akamaized.net:443/v1/files/0oc9hzfcw9s23-IN/image;s=850x0,Get your dream Rental apartment in Calicut in 24 hours,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
1 Bds - 1 Ba - 777 ft2,1675898980,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,1bhk fully furnished flat for rent at Calicut Palazhi","₹ 21,000",,1bhk fully furnished flat for rent at Calicut Palazhi,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,1,1
3 Bds - 2 Ba - 1280 ft2,1671495807,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,കെങ്കേമം ഫ്ലാറ്റുകൾ നോക്കാം","₹ 24,000",,കോഴിക്കോട് നഗരത്തിൽ നിങ്ങളുടെ ആവശ്യാനുസരണം താമസയോഗ്യമായ അനേകം വാടക ഫ്ലാറ്റുകൾ നിരത്തി നൽകാം,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,3
2 Bds - 2 Ba - 1100 ft2,1652060279,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kottuli,FIRST FLOOR FOR RENT,KOTTULI,CALICUT","₹ 12,000",https://apollo-singapore.akamaized.net:443/v1/files/qljy2cs7bjlt2-IN/image;s=850x0,"TWO BEDROOM ATTACHED,HALL,KITCHEN,WORK AREA,K.W.A WATER,CAR SITE",PARUDEESA PROPERTY,"Kottuli, Kozhikode, Kerala",Houses & Villas,2,2
4 Bds - 4 Ba - 3 ft2,1652405539,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram,FULL FURNISHED DOUBLE STORIED HOUSE FOR RENT,MIMS HOSPITAL,CALICUT","₹ 25,000",,"FOUR BEDROOM ATTACHED,HALL,KITCHEN,CAR SITE,LIVING ROOM,GOOD WELL WATER AND KWA WATER",HEAVEN REAL ESTATE AGENT,"Govindapuram, Kozhikode, Kerala",Houses & Villas,4,4
property_name,property_id,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
